Resume,Category
"python machine learning pandas numpy data analysis visualization statistics","Data Scientist"
"tensorflow pytorch deep learning neural networks ai model training nlp","Data Scientist"
"sql excel power bi tableau data visualization dashboard reporting analytics","Data Analyst"
"business intelligence data analytics insights reporting charts excel sql","Data Analyst"
"html css javascript react frontend web development ui ux design","Web Developer"
"nodejs express mongodb backend api development javascript rest api","Web Developer"
"react angular vue frontend backend full stack web application","Web Developer"
"aws docker kubernetes jenkins ci cd pipeline linux cloud devops","DevOps Engineer"
"linux server monitoring automation deployment cloud infrastructure aws","DevOps Engineer"
"recruitment hiring onboarding employee management hr policies communication","HR"
"talent acquisition interview scheduling payroll human resources management","HR"
"accounting finance gst taxation audit balance sheet income tax tds","Chartered Accountant"
"chartered accountant ledger financial statements compliance auditing gst","Chartered Accountant"
"nursing patient care hospital emergency medical health monitoring","Registered Nurse"
"clinical care patient treatment hospital ward assistance medical support","Registered Nurse"
"artificial intelligence ai ml deep learning transformers llm nlp","AI Engineer"
"chatbot development generative ai machine learning python tensorflow pytorch","AI Engineer"
